央视频道,#genre#
CCTV1,http://121.19.134.145:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://1.197.249.216:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://1.197.249.216:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://121.19.134.145:808/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://1.197.249.216:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://121.19.134.145:808/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://121.19.134.145:808/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://1.197.249.216:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://121.19.134.145:808/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://121.19.134.145:808/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
北京卫视4K,http://121.19.134.145:808/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://1.197.249.216:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://1.197.249.216:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://1.197.249.216:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://121.19.134.145:808/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://1.197.249.216:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://121.19.134.145:808/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://121.19.134.145:808/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://36.99.206.243:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://121.19.134.145:808/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://1.197.249.216:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://121.19.134.145:808/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://121.19.134.145:808/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://121.19.134.145:808/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://121.19.134.145:808/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://121.19.134.145:808/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
其他频道,#genre#
CGTN,http://121.19.134.145:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://121.19.134.145:808/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://121.19.134.145:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教,http://121.19.134.145:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济生活,http://121.19.134.145:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市,http://121.19.134.145:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://1.197.249.216:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://121.19.134.145:808/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
